arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
piccolo/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/custom_types.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/testing/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/proxy.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/functions/math.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/functions/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/methods/indexes.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/methods/raw.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/methods/exists.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/methods/table_exists.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/methods/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/methods/count.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/operators/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/columns/readable.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/columns/indexes.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/columns/choices.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/columns/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/columns/defaults/interval.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/columns/defaults/uuid.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/columns/defaults/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/columns/operators/comparison.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/columns/operators/base.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/columns/operators/math.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/columns/operators/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/columns/operators/string.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/utils/naming.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/utils/sync.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/utils/uuid.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/utils/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/conf/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/engine/finder.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/engine/exceptions.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/engine/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/apps/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/apps/tester/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/apps/tester/piccolo_app.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/apps/tester/commands/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/apps/shell/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/apps/shell/piccolo_app.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
