arquivo,mi,rank_mi
piccolo/columns/column_types.py,0.0,C
piccolo/apps/migrations/auto/migration_manager.py,16.3958,B
piccolo/query/methods/select.py,17.0971,B
piccolo/table.py,19.6628,A
piccolo/apps/migrations/auto/serialisation.py,24.0792,A
piccolo/query/mixins.py,24.6094,A
piccolo/columns/base.py,25.49,A
piccolo/apps/schema/commands/generate.py,26.4529,A
piccolo/apps/migrations/auto/schema_differ.py,31.798,A
piccolo/conf/apps.py,39.0945,A
piccolo/query/methods/objects.py,39.1092,A
piccolo/engine/postgres.py,41.0438,A
piccolo/engine/sqlite.py,42.1529,A
piccolo/utils/pydantic.py,42.959,A
piccolo/query/methods/alter.py,43.1,A
piccolo/query/base.py,43.5526,A
piccolo/columns/m2m.py,47.2385,A
piccolo/apps/playground/commands/run.py,47.9395,A
piccolo/querystring.py,50.8336,A
piccolo/apps/migrations/auto/schema_snapshot.py,53.8459,A
piccolo/columns/defaults/time.py,54.4773,A
piccolo/engine/base.py,56.6548,A
piccolo/apps/user/commands/create.py,57.2578,A
piccolo/query/methods/insert.py,57.6421,A
piccolo/testing/random_builder.py,57.9614,A
piccolo/apps/migrations/commands/forwards.py,59.0582,A
piccolo/apps/user/tables.py,59.6075,A
piccolo/apps/asgi/commands/new.py,60.0419,A
piccolo/apps/migrations/commands/backwards.py,60.1216,A
piccolo/query/methods/create_index.py,61.4191,A
piccolo/schema.py,61.6278,A
piccolo/columns/combination.py,62.691,A
piccolo/apps/migrations/auto/diffable_table.py,62.8298,A
piccolo/query/functions/aggregate.py,63.6103,A
piccolo/apps/migrations/commands/new.py,64.6937,A
piccolo/testing/model_builder.py,65.7201,A
piccolo/table_reflection.py,65.7446,A
piccolo/columns/defaults/timestamp.py,67.6565,A
piccolo/query/methods/update.py,68.5973,A
piccolo/columns/reference.py,69.0041,A
piccolo/apps/migrations/commands/base.py,69.0805,A
piccolo/apps/migrations/auto/serialisation_legacy.py,69.164,A
piccolo/main.py,69.6946,A
piccolo/apps/sql_shell/commands/run.py,70.4334,A
piccolo/query/methods/refresh.py,70.5535,A
piccolo/query/functions/datetime.py,70.7353,A
piccolo/columns/defaults/timestamptz.py,70.7647,A
piccolo/apps/migrations/commands/check.py,71.724,A
piccolo/query/methods/delete.py,71.8701,A
piccolo/query/functions/base.py,74.0393,A
piccolo/apps/schema/commands/graph.py,74.4658,A
piccolo/query/methods/drop_index.py,74.5472,A
piccolo/apps/fixtures/commands/dump.py,75.9643,A
piccolo/query/methods/create.py,75.9875,A
piccolo/query/functions/array.py,77.1618,A
piccolo/query/constraints.py,77.288,A
piccolo/query/functions/conditional.py,77.7567,A
piccolo/query/functions/string.py,77.761,A
piccolo/utils/sql_values.py,77.9417,A
piccolo/columns/defaults/date.py,78.2395,A
piccolo/apps/user/commands/list.py,78.7891,A
piccolo/apps/fixtures/commands/load.py,78.9467,A
piccolo/apps/migrations/commands/clean.py,80.191,A
piccolo/utils/printing.py,80.2922,A
piccolo/columns/defaults/base.py,80.5818,A
piccolo/apps/app/commands/new.py,80.8008,A
piccolo/apps/shell/commands/run.py,81.4479,A
piccolo/testing/test_case.py,83.4985,A
piccolo/utils/list.py,83.5071,A
piccolo/apps/user/commands/change_permissions.py,84.5702,A
piccolo/query/functions/type_conversion.py,85.9809,A
piccolo/utils/lazy_loader.py,86.0325,A
piccolo/utils/dictionary.py,86.1356,A
piccolo/utils/objects.py,86.3706,A
piccolo/apps/tester/commands/run.py,88.8214,A
piccolo/engine/cockroach.py,89.4688,A
piccolo/utils/encoding.py,89.7043,A
piccolo/apps/migrations/tables.py,90.3237,A
piccolo/query/operators/json.py,90.3937,A
piccolo/apps/user/commands/change_password.py,92.5785,A
piccolo/apps/project/commands/new.py,92.7415,A
piccolo/utils/warnings.py,94.3781,A
piccolo/utils/repr.py,99.1384,A
piccolo/__init__.py,100.0,A
piccolo/custom_types.py,100.0,A
piccolo/testing/__init__.py,100.0,A
piccolo/query/__init__.py,100.0,A
piccolo/query/proxy.py,100.0,A
piccolo/query/functions/math.py,100.0,A
piccolo/query/functions/__init__.py,100.0,A
piccolo/query/methods/indexes.py,100.0,A
piccolo/query/methods/raw.py,100.0,A
piccolo/query/methods/exists.py,100.0,A
piccolo/query/methods/table_exists.py,100.0,A
piccolo/query/methods/__init__.py,100.0,A
piccolo/query/methods/count.py,100.0,A
piccolo/query/operators/__init__.py,100.0,A
piccolo/columns/readable.py,100.0,A
piccolo/columns/indexes.py,100.0,A
piccolo/columns/choices.py,100.0,A
piccolo/columns/__init__.py,100.0,A
piccolo/columns/defaults/interval.py,100.0,A
piccolo/columns/defaults/uuid.py,100.0,A
piccolo/columns/defaults/__init__.py,100.0,A
piccolo/columns/operators/comparison.py,100.0,A
piccolo/columns/operators/base.py,100.0,A
piccolo/columns/operators/math.py,100.0,A
piccolo/columns/operators/__init__.py,100.0,A
piccolo/columns/operators/string.py,100.0,A
piccolo/utils/naming.py,100.0,A
piccolo/utils/sync.py,100.0,A
piccolo/utils/uuid.py,100.0,A
piccolo/utils/__init__.py,100.0,A
piccolo/conf/__init__.py,100.0,A
piccolo/engine/finder.py,100.0,A
piccolo/engine/exceptions.py,100.0,A
piccolo/engine/__init__.py,100.0,A
piccolo/apps/__init__.py,100.0,A
piccolo/apps/tester/__init__.py,100.0,A
piccolo/apps/tester/piccolo_app.py,100.0,A
piccolo/apps/tester/commands/__init__.py,100.0,A
piccolo/apps/shell/__init__.py,100.0,A
piccolo/apps/shell/piccolo_app.py,100.0,A
piccolo/apps/shell/commands/__init__.py,100.0,A
piccolo/apps/playground/__init__.py,100.0,A
piccolo/apps/playground/piccolo_app.py,100.0,A
piccolo/apps/playground/commands/__init__.py,100.0,A
piccolo/apps/asgi/__init__.py,100.0,A
piccolo/apps/asgi/piccolo_app.py,100.0,A
piccolo/apps/asgi/commands/__init__.py,100.0,A
