arquivo,loc,lloc,sloc,comments,multi,blank,single_comments
piccolo/query/operators/__init__.py,0,0,0,0,0,0,0
piccolo/conf/__init__.py,0,0,0,0,0,0,0
piccolo/apps/__init__.py,0,0,0,0,0,0,0
piccolo/apps/tester/__init__.py,0,0,0,0,0,0,0
piccolo/apps/tester/commands/__init__.py,0,0,0,0,0,0,0
piccolo/apps/shell/__init__.py,0,0,0,0,0,0,0
piccolo/apps/shell/commands/__init__.py,0,0,0,0,0,0,0
piccolo/apps/playground/__init__.py,0,0,0,0,0,0,0
piccolo/apps/playground/commands/__init__.py,0,0,0,0,0,0,0
piccolo/apps/asgi/__init__.py,0,0,0,0,0,0,0
piccolo/apps/asgi/commands/__init__.py,0,0,0,0,0,0,0
piccolo/apps/schema/__init__.py,0,0,0,0,0,0,0
piccolo/apps/schema/commands/__init__.py,0,0,0,0,0,0,0
piccolo/apps/migrations/__init__.py,0,0,0,0,0,0,0
piccolo/apps/migrations/commands/__init__.py,0,0,0,0,0,0,0
piccolo/apps/project/__init__.py,0,0,0,0,0,0,0
piccolo/apps/project/commands/__init__.py,0,0,0,0,0,0,0
piccolo/apps/sql_shell/__init__.py,0,0,0,0,0,0,0
piccolo/apps/sql_shell/commands/__init__.py,0,0,0,0,0,0,0
piccolo/apps/app/__init__.py,0,0,0,0,0,0,0
piccolo/apps/app/commands/__init__.py,0,0,0,0,0,0,0
piccolo/apps/meta/__init__.py,0,0,0,0,0,0,0
piccolo/apps/meta/commands/__init__.py,0,0,0,0,0,0,0
piccolo/apps/fixtures/__init__.py,0,0,0,0,0,0,0
piccolo/apps/fixtures/commands/__init__.py,0,0,0,0,0,0,0
piccolo/apps/user/__init__.py,0,0,0,0,0,0,0
piccolo/apps/user/piccolo_migrations/__init__.py,0,0,0,0,0,0,0
piccolo/apps/user/commands/__init__.py,0,0,0,0,0,0,0
piccolo/__init__.py,1,1,1,0,0,0,0
piccolo/utils/__init__.py,1,1,1,0,0,0,0
piccolo/testing/__init__.py,3,2,2,0,0,1,0
piccolo/columns/operators/base.py,2,2,2,0,0,0,0
piccolo/engine/exceptions.py,2,2,2,0,0,0,0
piccolo/utils/uuid.py,4,3,3,0,0,1,0
piccolo/apps/meta/commands/version.py,8,4,3,0,3,2,0
piccolo/apps/schema/commands/exceptions.py,14,6,4,0,6,4,0
piccolo/columns/operators/string.py,9,5,5,0,0,4,0
piccolo/utils/naming.py,15,7,5,0,6,4,0
piccolo/engine/finder.py,19,7,6,0,6,7,0
piccolo/apps/app/commands/show_all.py,13,7,6,0,3,4,0
piccolo/columns/choices.py,33,10,7,0,15,11,0
piccolo/columns/defaults/__init__.py,7,7,7,7,0,0,0
piccolo/apps/shell/piccolo_app.py,9,3,7,0,0,2,0
piccolo/apps/playground/piccolo_app.py,9,3,7,0,0,2,0
piccolo/apps/asgi/piccolo_app.py,9,3,7,0,0,2,0
piccolo/apps/project/piccolo_app.py,9,3,7,0,0,2,0
piccolo/apps/sql_shell/piccolo_app.py,9,3,7,0,0,2,0
piccolo/apps/meta/piccolo_app.py,9,3,7,0,0,2,0
piccolo/apps/tester/piccolo_app.py,11,3,9,0,0,2,0
piccolo/columns/indexes.py,19,11,10,0,4,5,0
piccolo/apps/fixtures/piccolo_app.py,12,4,10,0,0,2,0
piccolo/columns/operators/math.py,21,11,11,0,0,10,0
piccolo/apps/migrations/auto/__init__.py,12,5,11,0,0,1,0
piccolo/apps/app/piccolo_app.py,13,4,11,0,0,2,0
